hardness_mgL,conductivity_uScm
729.656,1380.0
16.878899999999998,70.0
11.8718,342.0
104.08800000000001,294.0
48.39020000000001,131.0
171.33839999999998,366.0
5.6907000000000005,32.0
11.6221,332.0
266.4266,596.0
250.756,805.0
334.426,723.0
14.254999999999999,314.0
62.136799999999994,278.0
286.369,512.0
2.1597,299.0
97.735,306.0
138.563,322.0
304.552,582.0
7.9773000000000005,334.0
2.4094,34.0
109.344,271.0
3.0709,336.0
131.203,265.0
8.1394,546.0
69.654,191.0
30.4593,107.0
29.2722,93.0
362.90000000000003,839.0
26.3544,69.0
21.7943,338.0
14.1936,317.0
58.045,313.0
193.19,413.0
324.004,461.0
300.39300000000003,575.0
325.183,1120.0
4.9678,318.0
18.3116,318.0
1.5727000000000002,308.0
1.4106,270.0
234.37740000000002,444.0
10.697799999999999,331.0
285.36199999999997,617.0
1.8224,301.0
16.2526,344.0
54.3126,147.0
152.538,504.0
5.4803,337.0
13.878400000000001,76.0
7.6137999999999995,464.0
7.8896999999999995,323.0
24.4534,754.0
213.563,417.0
364.128,895.0
17.1024,94.0
323.12800000000004,593.0
99.5656,233.0
100.232,283.0
3.6448,371.0
11.7711,317.0
11.508299999999998,234.0
61.4016,153.0
4.9064000000000005,56.0
183.11599999999999,335.0
5.143,261.0
39.821,138.0
11.9332,344.0
99.7752,208.0
5.5417000000000005,90.0
103.2456,290.0
12.932,334.0
119.332,296.0
3.8068999999999997,276.0
277.74,567.0
4.3063,650.0
181.012,414.0
18.9862,64.0
19.0214,56.0
130.30079999999998,267.0
1.4106,255.0
57.6856,193.0
179.522,357.0
132.69299999999998,271.0
257.24,479.0
71.1702,177.0
4.293200000000001,323.0
380.207,629.0
283.258,533.0
46.1552,130.0
95.3166,295.0
118.7442,271.0
6.7902000000000005,334.0
224.07500000000002,443.0
114.338,494.0
397.727,997.0
151.793,311.0
150.1008,319.0
280.1208,542.0
302.71,721.0
79.5634,192.0
311.69100000000003,733.0
149.165,332.0
283.95799999999997,815.0
99.487,296.0
292.23900000000003,552.0
379.331,685.0
322.072,670.0
4.2187,267.0
117.48259999999999,263.0
435.92699999999996,1030.0
18.3247,63.0
3.0578000000000003,316.0
370.12899999999996,948.0
1.1609,22.0
23.156599999999997,70.0
53.5676,114.0
236.298,675.0
99.356,230.0
97.735,296.0
