step,value_target_std,adv_raw_mean,adv_raw_std,explained_variance_preupdate,vf_loss_mean,eval_dcr_mean,eval_entropy_mean,policy_entropy_mb_mean
2048.0,2.1770336584542007,1.9124035835266113,2.164691686630249,0.011306236974674477,3.864232689142227,nan,nan,2.3838853538036346
4096.0,2.081245967869851,0.5529630184173584,2.0735840797424316,0.007349187716346961,2.2206399887800217,nan,nan,2.383886903524399
6144.0,1.8908992437531236,0.32686686515808105,1.8924169540405273,-0.0016059427895596112,1.777668796479702,nan,nan,2.3840135037899017
8192.0,2.124974831073562,0.3573225140571594,2.1102089881896973,0.01384921223477531,2.2433223575353622,nan,nan,2.3800098448991776
10240.0,1.329138650805241,-1.0211237668991089,1.328936219215393,0.0003046227849756722,1.359806440770626,nan,nan,2.377329707145691
12288.0,1.8374269073577019,-0.528200626373291,1.7949594259262085,0.04569076788365811,1.7085104137659073,nan,nan,2.375880926847458
14336.0,1.7466018356999513,-0.3990026116371155,1.7371777296066284,0.010762199115922133,1.5522322356700897,nan,nan,2.376982867717743
16384.0,1.7529670110766562,0.2697482705116272,1.7177534103393555,0.03977245729451773,1.5141291692852974,nan,nan,2.3768069446086884
18432.0,2.1092981096469665,0.9082052707672119,2.1244993209838867,-0.01446557506673285,2.5770518630743027,nan,nan,2.3780489563941956
20480.0,2.2416767032597695,0.28087344765663147,2.270318031311035,-0.025716687465033194,2.5664740204811096,41.22661122661123,2.3757683686663706,2.3784346282482147
22528.0,2.178546491213561,-0.28550755977630615,2.152116537094116,0.024116695446780745,2.3574369102716446,nan,nan,2.3764964193105698
24576.0,1.8589332242104335,0.03685449808835983,1.8586602210998535,0.0002937558997988532,1.7275421172380447,nan,nan,2.3767269402742386
26624.0,2.16280393059644,0.3318769335746765,2.179158926010132,-0.015181111212168696,2.386478051543236,nan,nan,2.379958137869835
28672.0,1.9777423945460026,-0.3671417236328125,1.9723331928253174,0.005462664132967698,1.9853684231638908,nan,nan,2.37513367831707
30720.0,1.5963706011213932,0.1087772324681282,1.543811321258545,0.06476441469729766,1.182674027979374,nan,nan,2.378026992082596
32768.0,2.1534152863247384,-0.0013694101944565773,2.2416775226593018,-0.08365411454396576,2.490519165992737,nan,nan,2.375540241599083
34816.0,2.0456657098557374,-0.048540808260440826,1.9918736219406128,0.05189976156109222,1.987784594297409,nan,nan,2.375289022922516
36864.0,2.1723864149223906,-0.1132500097155571,2.0900719165802,0.07434666110682064,2.1527231335639954,nan,nan,2.374657303094864
38912.0,1.7730133217670523,0.06932570040225983,1.8502566814422607,-0.08903036400538156,1.6908785924315453,nan,nan,2.3697042167186737
40960.0,1.7898274322946153,-0.14354649186134338,1.802208662033081,-0.013882840431322041,1.6102052330970764,31.715176715176717,2.3810473795980216,2.3774646520614624
43008.0,1.8088143709555606,-0.05014967918395996,1.8248217105865479,-0.017777563279002262,1.6326092332601547,nan,nan,2.38239061832428
45056.0,1.4827690279392363,0.01869167760014534,1.4881038665771484,-0.007208569920718277,1.1098432391881943,nan,nan,2.381405785679817
47104.0,1.928260793086653,0.4459291994571686,1.9188627004623413,0.00972400698300735,1.896783359348774,nan,nan,2.375167354941368
49152.0,2.1046922589002794,0.540144681930542,2.0981929302215576,0.0061666063648651015,2.246864676475525,nan,nan,2.374542236328125
51200.0,1.8805574594866719,-0.2870757579803467,1.8886538743972778,-0.008629310261670131,1.8063556179404259,nan,nan,2.3718150705099106
53248.0,1.795756680181459,0.09317599982023239,1.7979366779327393,-0.0024294601953696038,1.619447760283947,nan,nan,2.3786257952451706
55296.0,1.903220117912827,-0.3367132246494293,1.9023903608322144,0.0008718399346642203,1.844644956290722,nan,nan,2.347321718931198
57344.0,1.805635335787212,0.004743244964629412,1.8025444746017456,0.0034206527544512477,1.6269203945994377,nan,nan,2.361720457673073
59392.0,1.5913187470862746,-0.07622109353542328,1.607503890991211,-0.02044517432713544,1.2559537142515182,nan,nan,2.340695023536682
61440.0,1.5887017021317789,0.2554253339767456,1.5792629718780518,0.011846963539164146,1.2610044032335281,16.153846153846153,2.3154450622200966,2.3265350461006165
63488.0,1.596048838283571,0.08170904964208603,1.5980863571166992,-0.0025549077985853597,1.2760678231716156,nan,nan,2.3286004215478897
65536.0,1.449109280887922,0.12543794512748718,1.4440008401870728,0.007037953204598102,1.0444978661835194,nan,nan,2.327677294611931
67584.0,1.2992355919452863,0.043272294104099274,1.3034111261367798,-0.006437941237631417,0.8452433571219444,nan,nan,2.256076380610466
