step,value_target_std,adv_raw_mean,adv_raw_std,explained_variance_preupdate,vf_loss_mean,eval_dcr_mean,eval_entropy_mean,policy_entropy_mb_mean
2048.0,3343.328085368423,2074.172607421875,3664.749267578125,-0.2015186473472641,2517885.015625,nan,nan,2.3862308710813522
4096.0,2087.505362737833,1630.908447265625,2286.78076171875,-0.20003493205841227,1637960.12890625,nan,nan,2.386237770318985
6144.0,100.02186681841444,9.334159851074219,120.4249038696289,-0.44958178358019896,3056026.5221557617,nan,nan,2.386362850666046
8192.0,2167.5031961515347,2465.26708984375,2368.283447265625,-0.19384497396364675,2439879.2578125,nan,nan,2.3862853944301605
10240.0,1283.7124119483512,1134.3470458984375,1408.9342041015625,-0.20460867565772012,494519.3662109375,nan,nan,2.386276364326477
12288.0,967.1558469088704,2134.784423828125,1061.6744384765625,-0.20500758089799187,1032052.4609375,nan,nan,2.3862292617559433
14336.0,599.1090849072236,425.353759765625,667.6900634765625,-0.24204701779456905,121542.40600585938,nan,nan,2.386224925518036
16384.0,617.5094708877485,222.6051025390625,678.076416015625,-0.2057853715511324,95251.53063964844,nan,nan,2.3862288296222687
18432.0,536.496688761409,-253.22813415527344,574.8111572265625,-0.14793221821349123,129833.03515625,nan,nan,2.386345624923706
20480.0,421.3552795784267,-544.5120849609375,474.4752197265625,-0.2680319003019924,136641.59997558594,25.97713097713098,2.386253721167644,2.386076867580414
22528.0,201.43294359093355,-222.64248657226562,199.78506469726562,0.016294601293858846,47214.32116699219,nan,nan,2.3860499411821365
24576.0,250.91334092272308,-264.9333190917969,300.5091857910156,-0.4343926059568066,70666.52661132812,nan,nan,2.386193722486496
26624.0,111.27998350121784,-319.2242736816406,137.54452514648438,-0.5277507873293668,175504.2362060547,nan,nan,2.386222690343857
28672.0,207.27321082947174,174.74594116210938,232.24856567382812,-0.25550870526174685,703063.0350952148,nan,nan,2.386257603764534
30720.0,488.2002048022258,100.63816833496094,541.0134887695312,-0.22806229207487694,104567.9609375,nan,nan,2.386226251721382
32768.0,399.9971520780744,-203.2088623046875,441.6136169433594,-0.2189086072745352,102676.79895019531,nan,nan,2.386140838265419
34816.0,347.81579118905074,-75.82695007324219,370.11968994140625,-0.13236331276247615,302637.9777832031,nan,nan,2.3861965984106064
36864.0,645.0836334970276,246.6470184326172,707.4945068359375,-0.20285728754237597,221214.61029052734,nan,nan,2.386193335056305
38912.0,250.48300520559164,49.63453674316406,260.95263671875,-0.08534254134535213,79878.76831054688,nan,nan,2.3862032145261765
40960.0,371.507192659569,139.410888671875,410.7274475097656,-0.22228644693841804,267321.9226074219,32.31808731808732,2.3861479310194653,2.386225074529648
43008.0,100.31534296074288,264.45220947265625,125.9012451171875,-0.575162441075417,136722.80590820312,nan,nan,2.3863003253936768
45056.0,2635.214867122767,-1708.7518310546875,2670.53369140625,-0.026984913364625163,1975661.0849609375,nan,nan,2.3862482011318207
47104.0,2533.247239836947,-248.4659881591797,2720.510498046875,-0.15330906866766436,2209456.779296875,nan,nan,2.3862257450819016
49152.0,1626.7537055056112,-1289.6689453125,1779.6531982421875,-0.1968152939628558,1283942.456665039,nan,nan,2.3862525820732117
51200.0,484.9453000886635,-721.4422607421875,536.8408203125,-0.2254781575028777,719417.8021240234,nan,nan,2.3861115127801895
