step,rollout_reward_mean,rollout_reward_std,episode_return_mean_in_rollout,episode_return_std_in_rollout,value_target_mean,value_target_std,value_pred_mean,value_pred_std,adv_raw_mean,adv_raw_std,adv_used_mean,adv_used_std,explained_variance_preupdate,vf_loss_mean,policy_entropy_mean_rollout,policy_entropy_mean_update_mb,eval_dcr_mean,eval_entropy_mean
2048.0,1.951764726751311,2.272164782884863,945.0843251978373,779.4854772860722,31.737120749260654,34.61629914633811,0.09259484460926615,0.04601817680507325,31.64452362060547,34.60453414916992,6.332993507385254e-08,0.9999999403953552,0.0006796620845666013,1093.8430709838867,1.9965536400559358,2.3837876319885254,nan,nan
4096.0,0.6089653254564333,2.0997453490374447,280.50414662862704,865.6042641450138,10.437763146814413,32.455866686081066,0.40335641185811255,0.06554772451045596,10.034406661987305,32.450679779052734,2.0954757928848267e-09,0.9999999403953552,0.00031964285806784787,574.7668876647949,2.0659300784463994,2.383717194199562,nan,nan
6144.0,0.5902479650239794,2.0460717370125696,247.9371447958784,703.2738020142656,9.799947393987726,30.868600479200573,0.6689204584690742,0.007556326991659945,9.131027221679688,30.872312545776367,-1.210719347000122e-08,1.0,-0.00024057731606230703,516.5020122528076,2.2672388491337188,2.3815281838178635,nan,nan
8192.0,0.9304448012308777,2.308746392473566,388.343637623484,327.9068244264549,16.3382794755569,34.37434907001406,1.1772899951320142,0.08849215443394323,15.160989761352539,34.36577224731445,-1.0128132998943329e-08,1.0,0.0004989818691061298,699.4699363708496,2.3815169050358236,2.378702148795128,nan,nan
10240.0,-0.24418968745400588,1.5355895948114682,-113.47927638767621,176.71157257109394,-3.5743975901503013,18.874476842197186,2.0317946519935504,0.012395164799286354,-5.606192111968994,18.874954223632812,-1.3737007975578308e-08,1.0,-5.065640823498363e-05,193.79181098937988,2.3757783983601257,2.375596046447754,nan,nan
12288.0,-0.04152354534172095,1.926445743304116,0.8039358529398157,301.22222994445536,-0.31249823097712204,28.386463947517825,2.0173424942186102,0.011260433798316755,-2.329840660095215,28.382965087890625,1.1641532182693481e-09,1.0,0.0002464307708661684,405.11440658569336,2.3758327562827617,2.3754786550998688,nan,nan
14336.0,0.6594381664621554,2.3414286416810834,119.33172487006004,150.7893525699976,11.793029137849018,33.68144886049291,1.9013195229345001,0.06529821868233644,9.891709327697754,33.69533920288086,1.885928213596344e-08,1.0,-0.0008250201309292216,616.4465446472168,2.374131306889467,2.3738256096839905,nan,nan
16384.0,0.5919536332259103,1.8117657609405897,255.28329121026871,199.13889245439597,10.56578993457217,25.673210050157017,1.9160522906458937,0.06279596386057437,8.649738311767578,25.682422637939453,-2.7241185307502747e-08,1.0,-0.0007177884151239322,366.5124168395996,2.3734138493891805,2.373323529958725,nan,nan
18432.0,0.9659927495089579,2.200569001014017,518.0998864961267,228.11310919106987,17.04479314147909,31.036753470762203,2.0245369415497407,0.02717339508047144,15.020256042480469,31.037673950195312,3.4924596548080444e-09,1.0,-5.9363721780281153e-05,593.1991539001465,2.372809785651043,2.37307471036911,nan,nan
20480.0,0.28177291691166256,2.1150298981775935,20.478286926212437,125.33924107291568,5.800985252723177,31.071780580722756,2.167791537591256,0.019412272477514047,3.6331937313079834,31.07926368713379,-5.122274160385132e-09,1.0,-0.00048178236972162836,488.9827308654785,2.3731271222932264,2.3738447725772858,42.266112266112266,2.3752680541326603
22528.0,0.588010543704578,2.2804132391284937,200.85991683065168,400.20604439899785,11.065623281643733,33.81450147521375,2.32011079962831,0.016105960380517315,8.745512008666992,33.81512451171875,1.5599653124809265e-08,1.0,-3.691539256100995e-05,609.0527076721191,2.375369686516933,2.3762071430683136,nan,nan
24576.0,0.6322063199226046,1.9658575547187922,186.5172013728625,225.3331296907072,11.316551001185818,28.44988848916708,2.470179066527635,0.03631030344604988,8.8463716506958,28.456531524658203,1.5832483768463135e-08,0.9999999403953552,-0.00046694849265249694,443.0880069732666,2.3767295447178185,2.376982167363167,nan,nan
26624.0,0.5997340091967851,2.4476928851728132,294.20757162192876,377.77807368476584,11.50845126294523,36.379945170477896,2.6820167453261092,0.03271369177626418,8.826435089111328,36.37009811401367,-1.6530975699424744e-08,1.0,0.0005411424961845324,699.0395698547363,2.376904080621898,2.3771161139011383,nan,nan
28672.0,0.9201753102544264,2.2996733105966856,309.8345063197582,453.3781718096817,16.214323586175272,34.888954334647906,2.838400754611939,0.05926652735010565,13.375923156738281,34.8581428527832,-7.916241884231567e-09,1.0000001192092896,0.0017653326405475678,695.1089630126953,2.3774392812047154,2.3776890635490417,nan,nan
30720.0,0.7068276994259564,1.7453641250427951,289.5166256848718,446.15091127087584,14.73223929629672,26.271503907633686,3.1451764665544033,0.07636421590101258,11.58706283569336,26.248031616210938,1.280568540096283e-09,1.0,0.0017860671220760738,409.83223724365234,2.3781597384950146,2.378517583012581,nan,nan
32768.0,0.9392759647288836,2.4103410618315286,480.76132020373893,461.4152413769857,17.3098775777932,35.902373788831056,3.372666495735757,0.1153540033706165,13.937210083007812,35.94694900512695,3.050081431865692e-08,1.0,-0.0024846319865772237,740.8304748535156,2.3786816326901317,2.378765106201172,nan,nan
34816.0,1.1271317679648307,2.4112314756395774,634.3598884965852,395.9131801528584,21.501216745422305,36.00138429933086,3.6910489436704665,0.11202623130821775,17.810169219970703,36.01608657836914,-4.284083843231201e-08,1.0,-0.0008168847665550594,803.8087730407715,2.37881712266244,2.378747507929802,nan,nan
36864.0,0.4837447405156262,2.365072966339195,63.09537971302545,409.30866993007845,10.483891637217013,32.95402137075035,4.117218359489925,0.09205897493095203,6.366673469543457,32.91777420043945,7.683411240577698e-09,1.0,0.0021985970498966667,560.3469505310059,2.379093267256394,2.379247158765793,nan,nan
38912.0,0.2581798877683039,2.094646534027858,1.1221867253892994,242.7670960118922,7.560869984717076,29.565565856910258,4.417688409332186,0.1423048838358587,3.143181562423706,29.608318328857422,1.4435499906539917e-08,1.0,-0.0028940511858559503,442.2415962219238,2.378038320108317,2.3785961866378784,nan,nan
40960.0,0.029616405603416468,2.0756338810509933,9.969462179565966,266.8067507753589,2.737051206747674,29.578282899919298,4.938545966055244,0.10397695176840915,-2.2014946937561035,29.586877822875977,-2.9103830456733704e-09,1.0,-0.0005812893209433678,439.3097858428955,2.3798557858681306,2.381350576877594,40.37422037422038,2.383205035949747
43008.0,0.4715693161560854,2.168678155156115,299.30022794211936,523.0932807044102,10.984837384805555,32.215094021373474,4.511223483365029,0.36621648859893396,6.473613739013672,32.17884826660156,7.2177499532699585e-09,0.9999998807907104,0.002249152009222488,538.4769878387451,2.3831232076045126,2.3841214030981064,nan,nan
45056.0,0.2579889509442581,1.8098207880768642,110.27239627804495,227.3620841124852,7.354910630228242,27.06404453375934,4.285613079206087,0.7212783783670061,3.0692977905273438,27.098854064941406,-8.614733815193176e-09,1.0,-0.002574037030226739,369.9369583129883,2.3846262306906283,2.3840663582086563,nan,nan
47104.0,0.6944154302924753,2.1582724269126863,232.5500657185288,380.71427495960927,15.089382633571642,32.467287037387145,5.326467104488984,0.19975398231176372,9.76291561126709,32.52478790283203,-9.080395102500916e-09,1.0000001192092896,-0.003545477961613308,570.8506469726562,2.3825259308796376,2.3816854655742645,nan,nan
49152.0,0.992216650499159,2.2511098722126017,432.6885716969605,263.87664743235797,20.24266933313338,33.09336990470009,6.216588652227074,0.04758232150475653,14.026081085205078,33.09874725341797,-1.3969838619232178e-08,1.0,-0.000325082726537973,639.6697616577148,2.3819830474676564,2.381852999329567,nan,nan
51200.0,0.15569066517255414,2.0008543982607025,81.79416338616937,308.9139093312625,7.389810100240005,28.23804493599387,7.216708104591817,0.051509405288634194,0.1731017827987671,28.225303649902344,3.259629011154175e-09,1.0,0.0009021341767189162,395.62816047668457,2.3815195445204154,2.381731778383255,nan,nan
53248.0,0.7990864396160019,1.9696805907943986,296.2459200145997,136.47398455704274,16.881419666033686,27.54485215269616,5.392502798233181,0.6642027836810576,11.488916397094727,27.48807716369629,1.6763806343078613e-08,0.9999999403953552,0.004118228193651041,439.9275150299072,2.3786368956789374,2.380001440644264,nan,nan
55296.0,0.5271920141423865,2.1745214780342863,324.75997713207653,94.19956620289601,14.694495743875727,31.018474487737024,8.301844895118847,0.8321273010182066,6.392651081085205,31.050886154174805,-5.587935447692871e-09,1.0,-0.002090950711967965,498.0267562866211,2.384163259761408,2.384606420993805,nan,nan
57344.0,0.8282632375528718,2.167635064311828,305.7126148000061,74.78588444612853,20.002733087267323,32.2024654468762,9.127709636930376,0.6247228290927461,10.875022888183594,32.13063049316406,1.0943040251731873e-08,0.9999999403953552,0.004456469581231692,566.0792198181152,2.3846164389979094,2.385053128004074,nan,nan
59392.0,0.19055392506504726,1.7104590424872326,160.9000422019231,220.7557869765758,12.149202148489852,23.66002290539111,11.527453511022031,0.4556598242276538,0.6217486262321472,23.67616844177246,-6.984919309616089e-10,0.9999998807907104,-0.001365119247080937,278.9811706542969,2.3859682868933305,2.385105401277542,nan,nan
61440.0,0.5333883522445476,2.167042186359841,177.9244890514791,221.62338460230072,17.381941693859936,30.003123136597715,11.646799607668072,0.45034633700884275,5.735141754150391,30.034832000732422,9.778887033462524e-09,1.0,-0.00211477821839523,462.9345817565918,2.383385087829083,2.380847066640854,21.403326403326407,2.377601620083054
63488.0,0.6324773899966198,2.0078205900738837,275.55014007636987,203.19023586055835,21.54639016323474,27.738169478707125,13.877503720577806,0.1718444202890609,7.668886661529541,27.76280975341797,-1.7462298274040222e-08,1.0,-0.0017775232882790704,405.52717208862305,2.377683375380002,2.3763822466135025,nan,nan
65536.0,0.7148071808457404,1.957904793221611,322.59205900873945,232.78730692538358,24.947048906415525,26.643200838786584,16.914227148517966,0.19680117253199628,8.032821655273438,26.65724754333496,3.4924596548080444e-09,0.9999999403953552,-0.0010545963057677632,376.13303565979004,2.3752581250155345,2.3746520578861237,nan,nan
67584.0,0.9168721717348597,2.0955707131401797,407.98310002825565,246.46786379782196,30.600502983530887,28.8986311060931,20.497616070322692,0.07033294281046283,10.102887153625488,28.886472702026367,4.656612873077393e-10,1.0,0.0008412088517373295,450.90691566467285,2.373308469890617,2.37323959171772,nan,nan
69632.0,0.9169239529509673,1.9937581247371288,360.5505853950651,226.58964591588017,34.08894016798244,26.48973293538567,24.610044836997986,0.18162192671556562,9.47889518737793,26.476606369018555,7.916241884231567e-09,1.0,0.000990850545768529,377.80146980285645,2.373977431328967,2.3738184422254562,nan,nan
71680.0,0.7260720209506263,2.009016866268981,352.64845563675505,228.60062296631887,35.10060737439421,27.280563082732098,29.57335974276066,0.1962576169124594,5.527247428894043,27.319311141967773,0.0,1.0,-0.002842678479837435,378.3008213043213,2.373177422443405,2.3732931911945343,nan,nan
73728.0,0.6220723063923763,1.9996888095517278,354.4009906819616,188.49453414803662,38.6002590602134,27.566789767446565,35.00751602649689,0.0842043461778482,3.592742919921875,27.573951721191406,2.3283064365386963e-09,1.0,-0.0005196730724426057,381.88904571533203,2.373811034136452,2.3733700066804886,nan,nan
75776.0,0.8837556175054455,1.5362928840909313,351.9365439403011,172.77361179381853,44.9723141383605,20.6245650162457,38.81495645828545,0.3887670618887622,6.157358169555664,20.598451614379883,-2.514570951461792e-08,1.0,0.002530680703762167,224.4838514328003,2.372470373986289,2.3701649755239487,nan,nan
77824.0,0.4847595025119578,1.538084097242336,242.81200568208754,219.47306673292317,42.70892772153162,19.98347408673832,43.87631267122924,0.1183701827878624,-1.1673851013183594,20.021028518676758,6.984919309616089e-09,0.9999999403953552,-0.00376204738645991,200.2877960205078,2.3650204164441675,2.3621991723775864,nan,nan
79872.0,0.7266489367585887,2.071352301251052,323.7456349614263,140.5880384784997,44.919816062001146,26.440995472402015,42.31678578816354,0.05611360663308608,2.603030204772949,26.435121536254883,-9.778887033462524e-09,1.0,0.00044425070607245765,348.9035701751709,2.357929265825078,2.3546919375658035,nan,nan
81920.0,1.08022528072358,2.101339538716253,457.2875854819905,99.00063093989763,50.666107813962725,28.60479937921256,42.21351749636233,2.0507711293037905,8.452590942382812,28.528827667236328,-2.2817403078079224e-08,0.9999999403953552,0.005304765224526498,420.0468463897705,2.354626615648158,2.3528694212436676,19.771309771309767,2.3534390363345543
83968.0,0.86171563044867,1.9409586637996363,339.4602625246247,132.34365084152643,54.319988047150986,24.51708227417208,51.14078217744827,0.6555719731322522,3.179205894470215,24.46998405456543,-1.30385160446167e-08,1.0,0.0038383689845601365,300.09692001342773,2.3534370124107227,2.3548975586891174,nan,nan
86016.0,0.7812313319303457,2.011778943467255,333.9243702556604,199.98934814334646,55.578935606221094,27.028750244151965,54.33352481201291,1.8607230827887544,1.2454109191894531,26.518653869628906,-7.916241884231567e-09,0.9999999403953552,0.0373886095156607,344.15047454833984,2.3560118364403024,2.357596918940544,nan,nan
88064.0,0.6943900046915386,1.457582353641131,287.4267777402679,58.28182539381583,57.39934142784851,19.3261233629807,57.56233269162476,6.289908205579665,-0.16299128532409668,19.190122604370117,-4.6566128730773926e-09,1.0,0.014024730188838985,183.82481575012207,2.35353663074784,2.350791946053505,nan,nan
90112.0,0.8767776910789077,1.7300784928120487,378.6695550842955,146.73053909387258,60.936447796033974,21.272337866424,59.21653853729367,3.444870872665664,1.719909429550171,21.15656280517578,-1.210719347000122e-08,1.0,0.01085538527558616,224.56381130218506,2.347020115237683,2.342826008796692,nan,nan
92160.0,1.070922780805831,1.883077074304838,382.13852231542603,218.26123419339527,66.42716287876615,25.196920680927196,62.193465957418084,1.636379128028356,4.233696937561035,24.903438568115234,9.313225746154785e-09,1.0,0.023159443647898792,311.50645446777344,2.3368920856155455,2.33784618973732,nan,nan
94208.0,0.7828826871139289,1.8812746896082568,344.1408202974834,211.6895161057068,64.78557248090422,25.447633046151303,65.11099345237017,4.99482849174607,-0.3254210352897644,25.554609298706055,-4.6566128730773926e-09,1.0,-0.008425231613298001,324.7496109008789,2.346306610153988,2.3512191474437714,nan,nan
96256.0,0.989727405316942,1.9465843067770818,403.2241240384978,94.1544751812864,67.82995081652716,26.165529065222408,64.59621788561344,1.3978155489996478,3.2337329387664795,26.040870666503906,-5.587935447692871e-09,1.0,0.009505769993304436,341.5740337371826,2.35471703694202,2.354735031723976,nan,nan
98304.0,0.7780700569260686,1.8297261713999289,316.1884628634387,351.50236043453145,66.2702739182897,25.860627336256208,67.32727282866836,1.7035199790682394,-1.0569989681243896,26.137340545654297,3.725290298461914e-09,0.9999999403953552,-0.021514770907697045,338.5969429016113,2.357895091525279,2.360879585146904,nan,nan
100000.0,0.8508746391946674,1.6143522633626564,320.4432298870523,224.43664279868153,66.5464874348609,22.3775127584674,65.81480277259395,0.5395182075540742,0.731684684753418,22.39842414855957,-1.180846709303296e-08,0.9999999403953552,-0.0018697284957205351,247.27816486358643,2.362198702709855,2.3659363090991974,19.51143451143451,2.370892584994435
